id, charge, mass, radius, positionx, positiony, positionz, momentumx, momentumy, momentumz, efieldx, efieldy, efieldz
0 0.89543 1 2 400 400 0 0 0 0 0 0 0
1 0.89543 1 2 400 800 0 0 0 0 0 0 0
2 -0.89543 1 2 345 276 0 0 0 0 0 0 0
3 -1.23232 1 2 700 125 0 0 0 0 0 0 0
4 -0.42523 1 2 653 458 0 0 0 0 0 0 0
5 -0.96774 1 2 296 240 0 0 0 0 0 0 0
6 0.85723 1 2 530 520 0 0 0 0 0 0 0
7 0.99454 1 2 80 120 0 0 0 0 0 0 0
8 0.46522 1 2 140 90 0 0 0 0 0 0 0
9 0.25201 1 2 150 200 0 0 0 0 0 0 0
10 -0.27933 1 2 300 350 0 0 0 0 0 0 0
